,track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name,Genre
1229,2HsP2DbYLAjDItQUP2RQ88,You Made Me Want To Live,0zfT626RwO6zN3RDYeRit5,Black Label Society,5j7daAyvVHbB4oNhJvsTX4,271025,11/26/2021,53,0.432,0.638,4,-6.278,1,0.0353,0.00372,0.000361,0.322,0.158,102.13,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1230,4fIbgStSL1II8DS74pdI26,Out to the Inside,2WQQRKpu2PMLsHSrUJmyCS,The Veer Union,0C2DCVriqRYCWhancrKQBv,238500,12/17/2021,48,0.48,0.918,11,-3.015,0,0.0979,0.00112,1.73E-05,0.0892,0.381,120.044,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1231,3BPdKJxzfJX63N7LYLDpI6,We Are No Saints,3L58J6a7f0jyy2p6f3MSAs,Blind Channel,0LsCf8tIWzbZwfsIOJDkAg,190926,11/11/2021,60,0.438,0.857,2,-5.526,0,0.106,7.33E-05,3.30E-06,0.0924,0.397,128.082,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1232,1TIBjAmf6B2K0xfcb7ja7r,IN THREES,3IXtskFMls8KXRipcIJT9y,AS IT IS,7eCCtzR9Vx8Rupmlo1O8eA,185205,12/10/2021,57,0.693,0.615,8,-5.353,1,0.0727,0.0132,1.17E-06,0.124,0.395,123.954,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1233,7oRlqeavsFnEtKoUueqyiL,Ramon Ayala,0sJqZPLoTiqTqXz4nxKw94,Giovannie and the Hired Guns,0uDXEh8zPFRjAGizuol1EI,168311,7/23/2021,62,0.491,0.873,4,-4.112,1,0.0623,0.00129,5.52E-05,0.255,0.526,182.077,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1234,3xGdLKQgJVowEX0mUDDaOg,Kill Beautiful Things,312CXoyqdQ0p6ZJ67NJoVa,DED,113q2hWF8haaxs4Jm8nqQW,251557,8/19/2021,33,0.532,0.962,0,-4.298,1,0.0847,6.05E-05,0,0.663,0.556,121.99,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1235,0SnvI0twJ1Mnh0rJlBRrf0,Voices,6MwPCCR936cYfM1dLsGVnl,Motionless In White,5ucBd1GYFRg0uVhP4a4AY6,224000,5/5/2017,66,0.499,0.937,6,-2.492,1,0.0605,4.54E-05,6.11E-06,0.477,0.569,90.029,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1236,3lUljv8dQ66rCPw8Z5G5Ms,Awaken Love,09LCTrVGnMsGbxexUFJoap,Lacey Sturm,14Yjv6pmzJmUCqewnThxxq,267426,12/10/2021,49,0.253,0.82,5,-3.765,1,0.0359,0.00034,2.97E-06,0.147,0.138,140.068,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1237,6rYBRpj2tKN3pTnrugVuZF,Domino,0XblvrTo6mnHOxWIP1t5T6,Hail The Sun,5DGfTPWaXmfdiwlUOBzZdh,264646,4/16/2021,46,0.166,0.975,3,-3.238,0,0.157,0.000365,0.00667,0.177,0.275,187.934,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1238,4udlUigO56yYlO51LJkDAO,Boys Will Be Girls,16kd5X3pBMOtXdLlX5LcAw,BONES UK,4bLAqfPxO7yt5S2xEJ2tdZ,187000,11/11/2021,50,0.456,0.815,1,-5.599,1,0.0532,0.0012,0,0.431,0.428,167.94,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1239,2DA2R8axDHMeq1JSbbm10M,when we were broken,00YTqRClk82aMchQQpYMd5,Our Last Night,1dbPpxmeNr0DoDJ1vWn5Sb,170500,10/22/2021,58,0.514,0.92,8,-4.235,1,0.076,0.000929,2.24E-06,0.149,0.248,145.009,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1240,070TMc1fjJGBGxxmf1DIbD,THE DEATH OF PEACE OF MIND,3Ri4H12KFyu98LMjSoij5V,Bad Omens,2Lk43Ib2RErp5YVfbJDo7H,241499,11/10/2021,66,0.467,0.705,0,-5.613,0,0.046,0.079,0.000255,0.143,0.267,154.983,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1241,1zFTEPn42vvop4cKypq5Uh,Landslide,0EyuKHE1AeE9lWUF8mzKVp,Fuel,0RqWsYCZW4WnA12fCE3rHv,178066,10/22/2021,45,0.487,0.745,9,-5.625,1,0.0637,0.000365,0,0.0907,0.507,180.083,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1242,2jDgvn31FTHSYgTMavDv3v,The Wire,0XBRd3N11rCbh0s8qHf41m,Dirty Honey,0vyPTdAxmOLpOHHAkWJAa0,185120,4/23/2021,49,0.389,0.894,8,-4.237,1,0.0873,0.000621,0.000223,0.429,0.691,184.101,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1243,2JVFcDHKmXvNJaaAVvxiOy,The River Is Rising (feat. Myles Kennedy and The Conspirators),4Cqia9vrAbm7ANXbJGXsTE,Slash,7kkh7fjvsHR8q5uxksS7ko,222817,10/22/2021,53,0.303,0.991,3,-3.127,0,0.126,1.84E-05,0.00538,0.338,0.164,122.809,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1244,5MbVHsjrMrLJkK2GUERvdi,Death By a Thousand Cuts,5gFZo6Oh5WehnbEj0XtxiF,Like A Storm,15YN2gHkQDCrZzbTKgSms3,302872,9/3/2021,44,0.504,0.961,11,-5.984,1,0.0853,0.000397,0.00143,0.172,0.0973,110.034,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1245,1Td7TGT1XtK2ojUjz1mGUV,Animals,3ZztVuWxHzNpl0THurTFCv,Architects,75pgJat1FOBpDBBNPwaCW8,244364,10/20/2020,64,0.532,0.759,1,-3.842,0,0.0319,0.000123,0.02,0.073,0.293,95.01,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1246,12Tb8eKhcPMoVMkhzeJwdr,Happier?,1DgmdsnwOexqTH8ohPCFAU,Volumes,2pyFVRgKldXQFcCOtMWrZq,310026,10/29/2021,43,0.144,0.816,6,-6.793,0,0.0753,0.00146,0.186,0.14,0.103,73.198,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1247,7BF2ldGXrlGf9hRQWPeSc6,Victory (Feat. Matt B. of From Ashes To New),6yeRY2d7gubXoymv3DAYhS,Fire From The Gods,1fRGTgUynPbZkBzB969cyb,223131,8/27/2021,48,0.521,0.976,2,-3.253,1,0.29,0.0185,0.00206,0.291,0.423,145.107,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1248,56v5UfviHZFpZ0lghilvOI,EARTHRISE,0kD8IT1CzF7js2XKM9lLLa,STARSET,5sfygFN1lAjCNwbeFwwNDL,296906,10/8/2021,41,0.438,0.727,7,-5.883,0,0.0323,0.00266,1.09E-05,0.163,0.297,76.075,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
